	sequences per sample	iteration	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc9	515rcbc35	515rcbc18	515rcbc15	515rcbc26	515rcbc25	515rcbc32	515rcbc8	515rcbc16	515rcbc36	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc10	515rcbc14	515rcbc19	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13
alpha_rarefaction_14006_7.txt	14006	7	11280.3068182	4566.85934066	4625.56363636	5362.22573363	4400.15023474	3913.57403189	4742.77142857	5109.70093458	5058.75321337	3880.84538653	3911.58711217	4565.68362832	5112.69248826	3452.57	5000.21911422	4573.50704225	5798.8358209	5037.35511983	4473.69421488	4576.81924883	4628.21428571	5575.66115702	4441.50113895	4756.70681818	4512.32512315	5063.00208768	5020.59810875	4421.00433839	4073.42857143
alpha_rarefaction_14006_8.txt	14006	8	11195.4859155	4822.09501188	4902.55609756	5826.2173913	4238.43529412	4358.6509901	4883.0496614	5365.4589372	4577.03480278	4081.43103448	4000.0754717	4464.51829268	4898.83700441	3674.48979592	5105.1	4563.13235294	5281.7852194	4728.5	4294.23809524	4374.89361702	4795.02588235	5133.65957447	4829.203125	4930.5	4350.03644647	5128.53061224	4839.52145923	4653.20093458	3923.90072639
alpha_rarefaction_14006_9.txt	14006	9	10558.9457701	4601.36342043	4745.01678657	5349.77828054	4425.80320366	4235.1097852	4802.67741935	5500.35096154	4505.6	3993.22361809	4010.9507772	4567.24489796	5022.37070938	3802.64705882	5397.5743073	4851.03163017	5541.50835322	5105.46551724	4343.08732394	4549.80769231	4645.18337408	5242.76984127	4615.41441441	4938.61904762	4521.11963883	4835.76374745	5147.921875	4490.22707424	4074.21303258
alpha_rarefaction_17505_0.txt	17505	0	11624.0	4988.04417671	5269.49471459	5912.5480226	4799.53593429	4707.12359551	5203.03144654	6000.50214592	5586.85	4490.03685504	4093.45581395	4768.48618785	5549.14346895	3676.5426009	5715.8061674	5443.90714286	5871.19919517	5378.35526316	4822.225058	5000.37417943	4805.08523909	5797.5	5065.24737945	5247.55714286	5071.18881119	5297.08483755	5568.85714286	5110.19839679	4325.80896226
alpha_rarefaction_17505_1.txt	17505	1	12147.3757339	5112.89583333	5375.97484277	6009.30538922	4806.3100616	4752.00211864	5221.65656566	5823.00217865	5249.63333333	4442.16107383	4204.52380952	4838.00194932	5451.67689162	3991.42542787	5341.48	5109.75862069	6058.5292887	4803.38728324	4906.203125	4909.56167401	5167.06666667	5756.31491713	5138.55882353	5123.53757225	4693.452	5304.24390244	5408.60869565	4999.06321839	4532.98639456
alpha_rarefaction_17505_2.txt	17505	2	11951.4063604	5164.28874735	5150.8516129	6019.01851852	4677.88933602	4522.81181619	5343.15694165	5981.33333333	5474.83482143	4641.14503817	4586.1505102	4837.21083172	5132.26857143	3843.15492958	5352.75906183	5080.50211864	6107.12896406	5399.8697479	4847.95488722	5119.45890411	4920.45934959	5845.72370766	5163.0101833	5168.45294118	4798.74025974	5334.80555556	5329.90019194	5250.57380457	4553.78846154
alpha_rarefaction_17505_3.txt	17505	3	11729.6459854	5028.73402062	5034.9188641	6050.78099174	4659.8	4831.04494382	5532.76789588	5888.76617954	4879.60728745	4485.02352941	4106.15714286	4824.90203327	5594.61392405	3904.10933941	5554.1619256	5071.01273885	5830.55230126	5384.52783505	4830.92344498	5072.22222222	5214.01398601	5848.58333333	5288.35421166	5270.11157895	4880.94780793	5406.94535519	5295.03018109	5255.55737705	4478.9771167
alpha_rarefaction_17505_4.txt	17505	4	12222.3402256	5391.52915767	5412.63429752	6043.36363636	4656.5210084	4638.01372998	5610.69230769	5733.01878914	5206.04294479	4409.16666667	4419.29268293	4904.15977444	5312.51361868	3744.30853392	5907.06726457	5425.87162162	6152.49090909	5168.65922921	4486.41891892	4884.70498915	5110.36774194	5835.51086957	5224.52083333	5437.04979253	4908.26624738	5237.96188748	5261.5	5136.69361702	4422.66442953
alpha_rarefaction_17505_5.txt	17505	5	12154.7735125	4956.58536585	5136.03092784	5852.07058824	4747.06263048	4974.09375	5242.11340206	5807.50213675	5617.24373576	4685.195	4442.88832487	4734.52788845	5173.56772908	3995.22409639	5806.28798186	4966.1884058	5963.13793103	5525.53104925	4774.09929078	4998.8875	5187.5	5854.51396648	5200.50208333	5098.27822581	4805.9248927	5199.94535519	5307.73715415	5051.22070312	4371.32311321
alpha_rarefaction_17505_6.txt	17505	6	12018.4935305	4861.84507042	4899.78458498	5872.53360489	4860.03488372	4708.31477516	5590.04142012	5807.30612245	5021.09836066	4634.45685279	4379.35609756	4720.37132353	5456.43852459	3766.17257683	5432.09302326	5358.85227273	5706.56496063	5215.87174349	4704.29854369	5023.59782609	5001.49044586	5642.76130199	5066.63157895	5114.51276596	4595.67322835	5190.16230366	5208.89101338	5101.81742739	4326.20634921
alpha_rarefaction_17505_7.txt	17505	7	11824.7608696	5165.13793103	5022.7607362	5954.04294479	4811.299389	4937.48591549	5172.18562874	6059.75751073	5321.45633188	4394.53436807	4266.81489842	4720.10707804	5328.05702648	3898.24637681	5199.55310621	5507.94130926	5993.37550201	5624.08154506	4837.41527446	4948.29122056	5241.02059497	5890.73333333	4908.35087719	5317.0	4869.3006135	5727.352	5269.74851485	5048.05726872	4565.83372922
alpha_rarefaction_17505_8.txt	17505	8	12621.8288462	5149.35671343	5073.61284047	6078.05521472	4944.49785408	4781.75483871	5343.53012048	5981.82692308	5228.18816068	4885.86340206	4567.93861893	4753.90439771	5130.32093933	3704.28448276	5666.78571429	5300.8202765	6153.52631579	5361.22197802	4754.67067308	4869.67647059	4967.40451745	5851.05137615	5128.81637168	4952.11560694	4778.08731809	5339.97103918	5511.04150198	5274.34232365	4275.03524229
alpha_rarefaction_17505_9.txt	17505	9	11700.0145985	5168.2962963	4954.07228916	6369.93736501	4606.65758755	4778.02227171	5068.35912698	5825.53039832	5161.07453416	4573.10538642	4176.89772727	4738.91954023	5519.56964657	3758.26635514	6094.96666667	5167.91428571	6066.97070312	5228.39832285	4744.52293578	5035.72297297	5018.79578947	5616.25852783	5027.48101266	5269.66115702	5019.53333333	5302.23616236	5230.35490196	5336.22022472	4366.7258427
alpha_rarefaction_21004_0.txt	21004	0	13383.7483221	5362.24675325	5561.86481113	6414.90520446	5280.14256619	5235.15957447	5815.59570312	6248.66480447	5898.58298755	4944.30490405	4546.21829522	5100.07894737	5581.72183099	3984.83647799	5546.60617761	5769.01162791	6193.66666667	5702.53529412	5321.17673378	5225.74459725	5203.15749526	6254.01510067	5380.91362764	5390.5045045	5248.7797619	5582.08319468	5405.92173913	5553.44508671	4740.3215859
